# solver	iter	edge-congestion
akecmp	0	
		(s2,s9) : 0.477485287232
		(s2,s12) : 0.503176944387
		(s2,s17) : 0.503176944387
		(s2,s21) : 0.503176944387
		(s2,s25) : 0.498505733995
		(h3,s3) : 0.0125728547201
		(s3,h3) : 0.0125728547201
		(s3,s0) : 0.503176944387
		(s3,s1) : 0.503176944387
		(s3,s2) : 0.48171857165
		(s3,s4) : 0.503176944387
		(s3,s10) : 0.503176944387
		(s3,s16) : 0.502155117114
		(s3,s24) : 0.503176944387
		(s3,s29) : 0.503176944387
		(h4,s4) : 0.0125728547201
		(s4,h4) : 0.0125728547201
		(s4,s0) : 0.495732202825
		(s4,s1) : 0.503176944387
		(s4,s3) : 0.492666721005
		(s4,s5) : 0.503176944387
		(s4,s6) : 0.503176944387
		(s4,s8) : 0.503176944387
		(s4,s9) : 0.496608054773
		(s4,s12) : 0.503176944387
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 0.503176944387
		(s5,s2) : 0.503176944387
		(s5,s4) : 0.496900005423
		(s5,s9) : 0.500111462567
		(s5,s25) : 0.489893189835
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 0.503176944387
		(s6,s1) : 0.488725387237
		(s6,s4) : 0.50142524049
		(s6,s7) : 0.503176944387
		(s6,s14) : 0.503176944387
		(s6,s15) : 0.503176944387
		(s6,s18) : 0.503176944387
		(s6,s20) : 0.503176944387
		(s6,s23) : 0.503176944387
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 0.49281269633
		(s7,s2) : 0.501863166464
		(s7,s6) : 0.503176944387
		(s7,s10) : 0.503176944387
		(s7,s11) : 0.502884993737
		(s7,s13) : 0.503176944387
		(s7,s14) : 0.503176944387
		(s7,s17) : 0.495294276851
		(s7,s18) : 0.503176944387
		(s7,s25) : 0.503176944387
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 0.503176944387
		(s8,s1) : 0.503176944387
		(s8,s4) : 0.503176944387
		(s8,s15) : 0.503176944387
		(s8,s19) : 0.503176944387
		(s8,s22) : 0.503176944387
		(s8,s24) : 0.503176944387
		(s8,s27) : 0.503176944387
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.484346127495
		(s9,s4) : 0.486681732691
		(s9,s5) : 0.503176944387
		(s9,s11) : 0.503176944387
		(s9,s13) : 0.503176944387
		(s9,s19) : 0.503176944387
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 0.503176944387
		(s10,s3) : 0.503176944387
		(s10,s7) : 0.500695363866
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 0.501863166464
		(s11,s7) : 0.503176944387
		(s11,s9) : 0.503176944387
		(s11,s16) : 0.503176944387
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 0.501863166464
		(s12,s2) : 0.503176944387
		(s12,s4) : 0.503176944387
		(s12,s15) : 0.503176944387
		(s12,s23) : 0.496754030098
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 0.503176944387
		(s13,s7) : 0.503176944387
		(s13,s9) : 0.503176944387
		(s13,s27) : 0.503176944387
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 0.503176944387
		(s14,s6) : 0.503176944387
		(s14,s7) : 0.503176944387
		(s14,s18) : 0.488433436588
		(s14,s27) : 0.503176944387
		(s14,s28) : 0.503176944387
		(s14,s29) : 0.503176944387
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.503176944387
		(s15,s8) : 0.503176944387
		(s15,s12) : 0.503176944387
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 0.503176944387
		(s16,s3) : 0.503176944387
		(s16,s11) : 0.502155117114
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 0.503176944387
		(s17,s2) : 0.503176944387
		(s17,s7) : 0.495294276851
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.503176944387
		(s18,s7) : 0.503176944387
		(s18,s14) : 0.488433436588
		(s18,s26) : 0.503176944387
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 0.503176944387
		(s19,s8) : 0.503176944387
		(s19,s9) : 0.503176944387
		(s19,s20) : 0.495294276851
		(s19,s22) : 0.501279265165
		(s19,s24) : 0.503176944387
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.503176944387
		(s20,s6) : 0.503176944387
		(s20,s19) : 0.495294276851
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 0.503176944387
		(s21,s1) : 0.503176944387
		(s21,s2) : 0.503176944387
		(s21,s22) : 0.503176944387
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 0.503176944387
		(s22,s19) : 0.501279265165
		(s22,s21) : 0.503176944387
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 0.503176944387
		(s23,s6) : 0.493980498928
		(s23,s12) : 0.503176944387
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 0.503176944387
		(s24,s8) : 0.503176944387
		(s24,s19) : 0.503176944387
		(s24,s26) : 0.503176944387
		(s24,s28) : 0.503176944387
		(h25,s25) : 0.0125728547201
		(s25,h25) : 0.0125728547201
		(s25,s2) : 0.503176944387
		(s25,s5) : 0.485221979443
		(s25,s7) : 0.503176944387
		(h26,s26) : 0.0125728547201
		(s26,h26) : 0.0125728547201
		(s26,s1) : 0.503176944387
		(s26,s18) : 0.503176944387
		(s26,s24) : 0.503176944387
		(h27,s27) : 0.0125728547201
		(s27,h27) : 0.0125728547201
		(s27,s8) : 0.503176944387
		(s27,s13) : 0.503176944387
		(s27,s14) : 0.503176944387
		(h28,s28) : 0.0125728547201
		(s28,h28) : 0.0125728547201
		(s28,s0) : 0.503176944387
		(s28,s14) : 0.503176944387
		(s28,s24) : 0.503176944387
		(h29,s29) : 0.0125728547201
		(s29,h29) : 0.0125728547201
		(s29,s0) : 0.503176944387
		(s29,s3) : 0.503176944387
		(s29,s14) : 0.503176944387
semimcfmcf	1	
		(h0,s0) : 0.0125728547201
		(s0,h0) : 0.0125728547201
		(s0,s3) : 0.501717191139
		(s0,s4) : 0.503176944387
		(s0,s6) : 0.49835975867
		(s0,s8) : 0.503176944387
		(s0,s10) : 0.500695363866
		(s0,s11) : 0.503176944387
		(s0,s13) : 0.503176944387
		(s0,s19) : 0.503176944387
		(s0,s20) : 0.503176944387
		(s0,s21) : 0.503176944387
		(s0,s28) : 0.503176944387
		(s0,s29) : 0.503176944387
		(h1,s1) : 0.0125728547201
		(s1,h1) : 0.0125728547201
		(s1,s3) : 0.492666721005
		(s1,s4) : 0.503176944387
		(s1,s5) : 0.503176944387
		(s1,s6) : 0.500987314516
		(s1,s7) : 0.500257437892
		(s1,s8) : 0.503176944387
		(s1,s12) : 0.495440252175
		(s1,s14) : 0.503176944387
		(s1,s16) : 0.503176944387
		(s1,s17) : 0.503176944387
		(s1,s21) : 0.503176944387
		(s1,s23) : 0.500403413217
		(s1,s26) : 0.503176944387
		(h2,s2) : 0.0125728547201
		(s2,h2) : 0.0125728547201
		(s2,s3) : 0.503176944387
		(s2,s5) : 0.498505733995
		(s2,s7) : 0.496608054773
		(s2,s9) : 0.477485287232
		(s2,s12) : 0.503176944387
		(s2,s17) : 0.503176944387
		(s2,s21) : 0.503176944387
		(s2,s25) : 0.498505733995
		(h3,s3) : 0.0125728547201
		(s3,h3) : 0.0125728547201
		(s3,s0) : 0.503176944387
		(s3,s1) : 0.503176944387
		(s3,s2) : 0.48171857165
		(s3,s4) : 0.503176944387
		(s3,s10) : 0.503176944387
		(s3,s16) : 0.502155117114
		(s3,s24) : 0.503176944387
		(s3,s29) : 0.503176944387
		(h4,s4) : 0.0125728547201
		(s4,h4) : 0.0125728547201
		(s4,s0) : 0.495732202825
		(s4,s1) : 0.503176944387
		(s4,s3) : 0.492666721005
		(s4,s5) : 0.503176944387
		(s4,s6) : 0.503176944387
		(s4,s8) : 0.503176944387
		(s4,s9) : 0.496608054773
		(s4,s12) : 0.503176944387
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 0.503176944387
		(s5,s2) : 0.503176944387
		(s5,s4) : 0.496900005423
		(s5,s9) : 0.500111462567
		(s5,s25) : 0.489893189835
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 0.503176944387
		(s6,s1) : 0.488725387237
		(s6,s4) : 0.50142524049
		(s6,s7) : 0.503176944387
		(s6,s14) : 0.503176944387
		(s6,s15) : 0.503176944387
		(s6,s18) : 0.503176944387
		(s6,s20) : 0.503176944387
		(s6,s23) : 0.503176944387
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 0.49281269633
		(s7,s2) : 0.501863166464
		(s7,s6) : 0.503176944387
		(s7,s10) : 0.503176944387
		(s7,s11) : 0.502884993737
		(s7,s13) : 0.503176944387
		(s7,s14) : 0.503176944387
		(s7,s17) : 0.495294276851
		(s7,s18) : 0.503176944387
		(s7,s25) : 0.503176944387
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 0.503176944387
		(s8,s1) : 0.503176944387
		(s8,s4) : 0.503176944387
		(s8,s15) : 0.503176944387
		(s8,s19) : 0.503176944387
		(s8,s22) : 0.503176944387
		(s8,s24) : 0.503176944387
		(s8,s27) : 0.503176944387
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.484346127495
		(s9,s4) : 0.486681732691
		(s9,s5) : 0.503176944387
		(s9,s11) : 0.503176944387
		(s9,s13) : 0.503176944387
		(s9,s19) : 0.503176944387
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 0.503176944387
		(s10,s3) : 0.503176944387
		(s10,s7) : 0.500695363866
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 0.501863166464
		(s11,s7) : 0.503176944387
		(s11,s9) : 0.503176944387
		(s11,s16) : 0.503176944387
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 0.501863166464
		(s12,s2) : 0.503176944387
		(s12,s4) : 0.503176944387
		(s12,s15) : 0.503176944387
		(s12,s23) : 0.496754030098
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 0.503176944387
		(s13,s7) : 0.503176944387
		(s13,s9) : 0.503176944387
		(s13,s27) : 0.503176944387
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 0.503176944387
		(s14,s6) : 0.503176944387
		(s14,s7) : 0.503176944387
		(s14,s18) : 0.488433436588
		(s14,s27) : 0.503176944387
		(s14,s28) : 0.503176944387
		(s14,s29) : 0.503176944387
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.503176944387
		(s15,s8) : 0.503176944387
		(s15,s12) : 0.503176944387
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 0.503176944387
		(s16,s3) : 0.503176944387
		(s16,s11) : 0.502155117114
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 0.503176944387
		(s17,s2) : 0.503176944387
		(s17,s7) : 0.495294276851
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.503176944387
		(s18,s7) : 0.503176944387
		(s18,s14) : 0.488433436588
		(s18,s26) : 0.503176944387
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 0.503176944387
		(s19,s8) : 0.503176944387
		(s19,s9) : 0.503176944387
		(s19,s20) : 0.495294276851
		(s19,s22) : 0.501279265165
		(s19,s24) : 0.503176944387
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.503176944387
		(s20,s6) : 0.503176944387
		(s20,s19) : 0.495294276851
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 0.503176944387
		(s21,s1) : 0.503176944387
		(s21,s2) : 0.503176944387
		(s21,s22) : 0.503176944387
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 0.503176944387
		(s22,s19) : 0.501279265165
		(s22,s21) : 0.503176944387
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 0.503176944387
		(s23,s6) : 0.493980498928
		(s23,s12) : 0.503176944387
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 0.503176944387
		(s24,s8) : 0.503176944387
		(s24,s19) : 0.503176944387
		(s24,s26) : 0.503176944387
		(s24,s28) : 0.503176944387
		(h25,s25) : 0.0125728547201
		(s25,h25) : 0.0125728547201
		(s25,s2) : 0.503176944387
		(s25,s5) : 0.485221979443
		(s25,s7) : 0.503176944387
		(h26,s26) : 0.0125728547201
		(s26,h26) : 0.0125728547201
		(s26,s1) : 0.503176944387
		(s26,s18) : 0.503176944387
		(s26,s24) : 0.503176944387
		(h27,s27) : 0.0125728547201
		(s27,h27) : 0.0125728547201
		(s27,s8) : 0.503176944387
		(s27,s13) : 0.503176944387
		(s27,s14) : 0.503176944387
		(h28,s28) : 0.0125728547201
		(s28,h28) : 0.0125728547201
		(s28,s0) : 0.503176944387
		(s28,s14) : 0.503176944387
		(s28,s24) : 0.503176944387
		(h29,s29) : 0.0125728547201
		(s29,h29) : 0.0125728547201
		(s29,s0) : 0.503176944387
		(s29,s3) : 0.503176944387
		(s29,s14) : 0.503176944387
semimcfraeke	0	
		(h0,s0) : 0.0401365791395
		(s0,h0) : 0.0401365791395
		(s0,s3) : 0.503176944387
		(s0,s4) : 0.503176944387
		(s0,s6) : 0.503176944387
		(s0,s8) : 0.503176944387
		(s0,s10) : 0.503176944387
		(s0,s11) : 0.503176944387
		(s0,s13) : 0.503176944387
		(s0,s19) : 0.503176944387
		(s0,s20) : 0.503176944387
		(s0,s21) : 0.503176944387
		(s0,s28) : 0.503176944387
		(s0,s29) : 0.503176944387
		(h1,s1) : 0.030759855942
		(s1,h1) : 0.030759855942
		(s1,s3) : 0.503176944387
		(s1,s4) : 0.417956247209
		(s1,s5) : 0.503176944387
		(s1,s6) : 0.503176944387
		(s1,s7) : 0.503176944387
		(s1,s8) : 0.503176944387
		(s1,s12) : 0.503176944387
		(s1,s14) : 0.503176944387
		(s1,s16) : 0.503176944387
		(s1,s17) : 0.503176944387
		(s1,s21) : 0.503176944387
		(s1,s23) : 0.503176944387
		(s1,s26) : 0.503176944387
		(h2,s2) : 0.0154379334093
		(s2,h2) : 0.0154379334093
		(s2,s3) : 0.503176944387
		(s2,s5) : 0.503176944387
		(s2,s7) : 0.503176944387
		(s2,s9) : 0.503176944387
		(s2,s12) : 0.503176944387
		(s2,s17) : 0.503176944387
		(s2,s21) : 0.503176944387
		(s2,s25) : 0.503176944387
		(h3,s3) : 0.0223057532216
		(s3,h3) : 0.0223057532216
		(s3,s0) : 0.503176944387
		(s3,s1) : 0.503176944387
		(s3,s2) : 0.503176944387
		(s3,s4) : 0.503176944387
		(s3,s10) : 0.503176944387
		(s3,s16) : 0.503176944387
		(s3,s24) : 0.503176944387
		(s3,s29) : 0.503176944387
		(h4,s4) : 0.0163908821465
		(s4,h4) : 0.0163908821465
		(s4,s0) : 0.503176944387
		(s4,s1) : 0.417956247209
		(s4,s3) : 0.503176944387
		(s4,s5) : 0.503176944387
		(s4,s6) : 0.503176944387
		(s4,s8) : 0.503176944387
		(s4,s9) : 0.503176944387
		(s4,s12) : 0.503176944387
		(h5,s5) : 0.0135192798625
		(s5,h5) : 0.0135192798625
		(s5,s1) : 0.503176944387
		(s5,s2) : 0.503176944387
		(s5,s4) : 0.503176944387
		(s5,s9) : 0.503176944387
		(s5,s25) : 0.503176944387
		(h6,s6) : 0.0280565577592
		(s6,h6) : 0.0280565577592
		(s6,s0) : 0.503176944387
		(s6,s1) : 0.503176944387
		(s6,s4) : 0.503176944387
		(s6,s7) : 0.503176944387
		(s6,s14) : 0.503176944387
		(s6,s15) : 0.503176944387
		(s6,s18) : 0.503176944387
		(s6,s20) : 0.503176944387
		(s6,s23) : 0.503176944387
		(h7,s7) : 0.0264717363018
		(s7,h7) : 0.0264717363018
		(s7,s1) : 0.503176944387
		(s7,s2) : 0.503176944387
		(s7,s6) : 0.503176944387
		(s7,s10) : 0.503176944387
		(s7,s11) : 0.503176944387
		(s7,s13) : 0.503176944387
		(s7,s14) : 0.503176944387
		(s7,s17) : 0.503176944387
		(s7,s18) : 0.503176944387
		(s7,s25) : 0.503176944387
		(h8,s8) : 0.026179040494
		(s8,h8) : 0.026179040494
		(s8,s0) : 0.503176944387
		(s8,s1) : 0.503176944387
		(s8,s4) : 0.503176944387
		(s8,s15) : 0.503176944387
		(s8,s19) : 0.503176944387
		(s8,s22) : 0.495741508773
		(s8,s24) : 0.503176944387
		(s8,s27) : 0.503176944387
		(h9,s9) : 0.0189387432918
		(s9,h9) : 0.0189387432918
		(s9,s2) : 0.503176944387
		(s9,s4) : 0.503176944387
		(s9,s5) : 0.503176944387
		(s9,s11) : 0.503176944387
		(s9,s13) : 0.503176944387
		(s9,s19) : 0.503176944387
		(h10,s10) : 0.012986837338
		(s10,h10) : 0.012986837338
		(s10,s0) : 0.503176944387
		(s10,s3) : 0.503176944387
		(s10,s7) : 0.503176944387
		(h11,s11) : 0.013439948149
		(s11,h11) : 0.013439948149
		(s11,s0) : 0.503176944387
		(s11,s7) : 0.503176944387
		(s11,s9) : 0.503176944387
		(s11,s16) : 0.503176944387
		(h12,s12) : 0.0152009475295
		(s12,h12) : 0.0152009475295
		(s12,s1) : 0.503176944387
		(s12,s2) : 0.503176944387
		(s12,s4) : 0.503176944387
		(s12,s15) : 0.503176944387
		(s12,s23) : 0.503176944387
		(h13,s13) : 0.0150291340711
		(s13,h13) : 0.0150291340711
		(s13,s0) : 0.503176944387
		(s13,s7) : 0.503176944387
		(s13,s9) : 0.503176944387
		(s13,s27) : 0.503176944387
		(h14,s14) : 0.0260467363646
		(s14,h14) : 0.0260467363646
		(s14,s1) : 0.503176944387
		(s14,s6) : 0.503176944387
		(s14,s7) : 0.503176944387
		(s14,s18) : 0.503176944387
		(s14,s27) : 0.503176944387
		(s14,s28) : 0.503176944387
		(s14,s29) : 0.503176944387
		(h15,s15) : 0.0132927715775
		(s15,h15) : 0.0132927715775
		(s15,s6) : 0.503176944387
		(s15,s8) : 0.503176944387
		(s15,s12) : 0.503176944387
		(h16,s16) : 0.0127389216234
		(s16,h16) : 0.0127389216234
		(s16,s1) : 0.503176944387
		(s16,s3) : 0.503176944387
		(s16,s11) : 0.503176944387
		(h17,s17) : 0.0133367909547
		(s17,h17) : 0.0133367909547
		(s17,s1) : 0.503176944387
		(s17,s2) : 0.503176944387
		(s17,s7) : 0.503176944387
		(h18,s18) : 0.0168228257038
		(s18,h18) : 0.0168228257038
		(s18,s6) : 0.503176944387
		(s18,s7) : 0.503176944387
		(s18,s14) : 0.503176944387
		(s18,s26) : 0.503176944387
		(h19,s19) : 0.0212914899401
		(s19,h19) : 0.0212914899401
		(s19,s0) : 0.503176944387
		(s19,s8) : 0.495741508773
		(s19,s9) : 0.503176944387
		(s19,s20) : 0.503176944387
		(s19,s22) : 0.503176944387
		(s19,s24) : 0.503176944387
		(h20,s20) : 0.0139368909406
		(s20,h20) : 0.0139368909406
		(s20,s0) : 0.503176944387
		(s20,s6) : 0.503176944387
		(s20,s19) : 0.503176944387
		(h21,s21) : 0.0143874656953
		(s21,h21) : 0.0143874656953
		(s21,s0) : 0.503176944387
		(s21,s1) : 0.503176944387
		(s21,s2) : 0.503176944387
		(s21,s22) : 0.503176944387
		(h22,s22) : 0.0136858561013
		(s22,h22) : 0.0136858561013
		(s22,s8) : 0.503176944387
		(s22,s19) : 0.495741508773
		(s22,s21) : 0.503176944387
		(h23,s23) : 0.012630732743
		(s23,h23) : 0.012630732743
		(s23,s1) : 0.503176944387
		(s23,s6) : 0.503176944387
		(s23,s12) : 0.503176944387
		(h24,s24) : 0.0204389988902
		(s24,h24) : 0.0204389988902
		(s24,s3) : 0.503176944387
		(s24,s8) : 0.503176944387
		(s24,s19) : 0.503176944387
		(s24,s26) : 0.503176944387
		(s24,s28) : 0.503176944387
		(h25,s25) : 0.0129937601175
		(s25,h25) : 0.0129937601175
		(s25,s2) : 0.503176944387
		(s25,s5) : 0.503176944387
		(s25,s7) : 0.503176944387
		(h26,s26) : 0.0140027235132
		(s26,h26) : 0.0140027235132
		(s26,s1) : 0.503176944387
		(s26,s18) : 0.503176944387
		(s26,s24) : 0.503176944387
		(h27,s27) : 0.013439948149
		(s27,h27) : 0.013439948149
		(s27,s8) : 0.503176944387
		(s27,s13) : 0.503176944387
		(s27,s14) : 0.503176944387
		(h28,s28) : 0.0138195153011
		(s28,h28) : 0.0138195153011
		(s28,s0) : 0.503176944387
		(s28,s14) : 0.503176944387
		(s28,s24) : 0.503176944387
		(h29,s29) : 0.0135429900233
		(s29,h29) : 0.0135429900233
		(s29,s0) : 0.503176944387
		(s29,s3) : 0.503176944387
		(s29,s14) : 0.503176944387
semimcfraeke	1	
		(h0,s0) : 0.0401365791395
		(s0,h0) : 0.0401365791395
		(s0,s3) : 0.503176944387
		(s0,s4) : 0.503176944387
		(s0,s6) : 0.503176944387
		(s0,s8) : 0.503176944387
		(s0,s10) : 0.503176944387
		(s0,s11) : 0.503176944387
		(s0,s13) : 0.503176944387
		(s0,s19) : 0.503176944387
		(s0,s20) : 0.503176944387
		(s0,s21) : 0.503176944387
		(s0,s28) : 0.503176944387
		(s0,s29) : 0.503176944387
		(h1,s1) : 0.030759855942
		(s1,h1) : 0.030759855942
		(s1,s3) : 0.503176944387
		(s1,s4) : 0.417956247209
		(s1,s5) : 0.503176944387
		(s1,s6) : 0.503176944387
		(s1,s7) : 0.503176944387
		(s1,s8) : 0.503176944387
		(s1,s12) : 0.503176944387
		(s1,s14) : 0.503176944387
		(s1,s16) : 0.503176944387
		(s1,s17) : 0.503176944387
		(s1,s21) : 0.503176944387
		(s1,s23) : 0.503176944387
		(s1,s26) : 0.503176944387
		(h2,s2) : 0.0154379334093
		(s2,h2) : 0.0154379334093
		(s2,s3) : 0.503176944387
		(s2,s5) : 0.503176944387
		(s2,s7) : 0.503176944387
		(s2,s9) : 0.503176944387
		(s2,s12) : 0.503176944387
		(s2,s17) : 0.503176944387
		(s2,s21) : 0.503176944387
		(s2,s25) : 0.503176944387
		(h3,s3) : 0.0223057532216
		(s3,h3) : 0.0223057532216
		(s3,s0) : 0.503176944387
		(s3,s1) : 0.503176944387
		(s3,s2) : 0.503176944387
		(s3,s4) : 0.503176944387
		(s3,s10) : 0.503176944387
		(s3,s16) : 0.503176944387
		(s3,s24) : 0.503176944387
		(s3,s29) : 0.503176944387
		(h4,s4) : 0.0163908821465
		(s4,h4) : 0.0163908821465
		(s4,s0) : 0.503176944387
		(s4,s1) : 0.417956247209
		(s4,s3) : 0.503176944387
		(s4,s5) : 0.503176944387
		(s4,s6) : 0.503176944387
		(s4,s8) : 0.503176944387
		(s4,s9) : 0.503176944387
		(s4,s12) : 0.503176944387
		(h5,s5) : 0.0135192798625
		(s5,h5) : 0.0135192798625
		(s5,s1) : 0.503176944387
		(s5,s2) : 0.503176944387
		(s5,s4) : 0.503176944387
		(s5,s9) : 0.503176944387
		(s5,s25) : 0.503176944387
		(h6,s6) : 0.0280565577592
		(s6,h6) : 0.0280565577592
		(s6,s0) : 0.503176944387
		(s6,s1) : 0.503176944387
		(s6,s4) : 0.503176944387
		(s6,s7) : 0.503176944387
		(s6,s14) : 0.503176944387
		(s6,s15) : 0.503176944387
		(s6,s18) : 0.503176944387
		(s6,s20) : 0.503176944387
		(s6,s23) : 0.503176944387
		(h7,s7) : 0.0264717363018
		(s7,h7) : 0.0264717363018
		(s7,s1) : 0.503176944387
		(s7,s2) : 0.503176944387
		(s7,s6) : 0.503176944387
		(s7,s10) : 0.503176944387
		(s7,s11) : 0.503176944387
		(s7,s13) : 0.503176944387
		(s7,s14) : 0.503176944387
		(s7,s17) : 0.503176944387
		(s7,s18) : 0.503176944387
		(s7,s25) : 0.503176944387
		(h8,s8) : 0.026179040494
		(s8,h8) : 0.026179040494
		(s8,s0) : 0.503176944387
		(s8,s1) : 0.503176944387
		(s8,s4) : 0.503176944387
		(s8,s15) : 0.503176944387
		(s8,s19) : 0.503176944387
		(s8,s22) : 0.495741508773
		(s8,s24) : 0.503176944387
		(s8,s27) : 0.503176944387
		(h9,s9) : 0.0189387432918
		(s9,h9) : 0.0189387432918
		(s9,s2) : 0.503176944387
		(s9,s4) : 0.503176944387
		(s9,s5) : 0.503176944387
		(s9,s11) : 0.503176944387
		(s9,s13) : 0.503176944387
		(s9,s19) : 0.503176944387
		(h10,s10) : 0.012986837338
		(s10,h10) : 0.012986837338
		(s10,s0) : 0.503176944387
		(s10,s3) : 0.503176944387
		(s10,s7) : 0.503176944387
		(h11,s11) : 0.013439948149
		(s11,h11) : 0.013439948149
		(s11,s0) : 0.503176944387
		(s11,s7) : 0.503176944387
		(s11,s9) : 0.503176944387
		(s11,s16) : 0.503176944387
		(h12,s12) : 0.0152009475295
		(s12,h12) : 0.0152009475295
		(s12,s1) : 0.503176944387
		(s12,s2) : 0.503176944387
		(s12,s4) : 0.503176944387
		(s12,s15) : 0.503176944387
		(s12,s23) : 0.503176944387
		(h13,s13) : 0.0150291340711
		(s13,h13) : 0.0150291340711
		(s13,s0) : 0.503176944387
		(s13,s7) : 0.503176944387
		(s13,s9) : 0.503176944387
		(s13,s27) : 0.503176944387
		(h14,s14) : 0.0260467363646
		(s14,h14) : 0.0260467363646
		(s14,s1) : 0.503176944387
		(s14,s6) : 0.503176944387
		(s14,s7) : 0.503176944387
		(s14,s18) : 0.503176944387
		(s14,s27) : 0.503176944387
		(s14,s28) : 0.503176944387
		(s14,s29) : 0.503176944387
		(h15,s15) : 0.0132927715775
		(s15,h15) : 0.0132927715775
		(s15,s6) : 0.503176944387
		(s15,s8) : 0.503176944387
		(s15,s12) : 0.503176944387
		(h16,s16) : 0.0127389216234
		(s16,h16) : 0.0127389216234
		(s16,s1) : 0.503176944387
		(s16,s3) : 0.503176944387
		(s16,s11) : 0.503176944387
		(h17,s17) : 0.0133367909547
		(s17,h17) : 0.0133367909547
		(s17,s1) : 0.503176944387
		(s17,s2) : 0.503176944387
		(s17,s7) : 0.503176944387
		(h18,s18) : 0.0168228257038
		(s18,h18) : 0.0168228257038
		(s18,s6) : 0.503176944387
		(s18,s7) : 0.503176944387
		(s18,s14) : 0.503176944387
		(s18,s26) : 0.503176944387
		(h19,s19) : 0.0212914899401
		(s19,h19) : 0.0212914899401
		(s19,s0) : 0.503176944387
		(s19,s8) : 0.495741508773
		(s19,s9) : 0.503176944387
		(s19,s20) : 0.503176944387
		(s19,s22) : 0.503176944387
		(s19,s24) : 0.503176944387
		(h20,s20) : 0.0139368909406
		(s20,h20) : 0.0139368909406
		(s20,s0) : 0.503176944387
		(s20,s6) : 0.503176944387
		(s20,s19) : 0.503176944387
		(h21,s21) : 0.0143874656953
		(s21,h21) : 0.0143874656953
